,0,1,2,3,4,5,6,7,8,9
0,truck ,food ,slider ,root ,friday ,local ,peopl ,farm ,market ,event
1,food ,time ,get ,just ,order ,place ,go ,back ,like ,us
2,pop ,cart ,pud ,jack ,banana ,king ,savor ,coupon ,popsicl ,beagl
3,burger ,fri ,chees ,good ,chicken ,order ,like ,pizza ,sauc ,just
4,taco ,fish ,salsa ,chip ,good ,like ,tast ,shrimp ,cabo ,mexican
5,airport ,market ,shuttl ,farmer ,kombucha ,local ,brook ,picnic ,travel ,due
6,room ,hotel ,stay ,clean ,breakfast ,buffet ,front ,nice ,area ,staff
7,beer ,great ,place ,bar ,good ,like ,breweri ,can ,food ,noda
8,great ,food ,place ,good ,love ,servic ,go ,alway ,best ,time
9,coffe ,place ,good ,love ,pastri ,ameli ,just ,chocol ,shop ,open
