,0,1,2,3,4,5,6,7,8,9
0,first_time ,mac_chees ,great_place ,food_truck ,next_time ,realli_good ,come_back ,fri_pickl ,salt_caramel ,can_get
1,come_back ,love_place ,food_truck ,craft_beer ,go_back ,great_place ,realli_good ,live_music ,coffe_shop ,fish_taco
2,food_truck ,beer_select ,go_back ,come_back ,realli_good ,fri_chicken ,custom_servic ,will_definit ,one_favorit ,5_star
3,fish_taco ,go_back ,come_back ,first_time ,salt_caramel ,realli_good ,servic_excel ,mac_chees ,pretti_good ,caramel_browni
4,fish_taco ,pretti_good ,fri_pickl ,food_truck ,cabo_fish ,ve_ever ,can_get ,pimento_chees ,tater_tot ,fri_chicken
5,ve_ever ,salt_caramel ,caramel_browni ,fri_chicken ,food_truck ,south_end ,beer_select ,come_back ,fish_taco ,select_beer
6,first_time ,beer_chees ,come_back ,fish_taco ,fri_chicken ,go_back ,m_sure ,great_place ,mac_chees ,can_get
7,go_back ,chunki_monkey ,monkey_chunki ,food_truck ,love_place ,great_place ,great_food ,great_beer ,fish_taco ,beer_select
8,go_back ,food_truck ,great_place ,pretti_good ,caramel_browni ,salt_caramel ,great_food ,food_good ,can_wait ,love_place
9,love_place ,go_back ,mac_chees ,beer_select ,great_place ,will_back ,fri_pickl ,pretti_good ,salt_caramel ,caramel_browni
