,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,fri_pickl ,go_back ,tater_tot ,sweet_potato ,mahi_mahi ,burger_compani ,hot_dog ,chicken_coop ,can_get ,fish_taco ,last_night ,1_50 ,chicken_sandwich ,mani_time ,next_time ,open_24 ,tasti_yo ,3_time ,one_flavor ,sport_bar ,will_go ,veggi_burger ,grill_chees ,tri_someth ,mahi_taco ,watch_game ,come_back ,fri_food ,bake_good ,blacken_mahi
1,oliv_garden ,fri_chicken ,beer_select ,laid_back ,cask_ale ,loco_lime ,go_back ,peanut_butter ,first_time ,24_hour ,hous_made ,like_place ,chicken_sandwich ,look_like ,come_back ,outdoor_seat ,place_eat ,select_beer ,caramel_browni ,salt_caramel ,m_look ,cask_beer ,great_servic ,ground_beef ,wine_bar ,cole_slaw ,mexican_food ,chip_salsa ,tater_tot ,wait_staff
2,go_back ,tasti_yo ,great_place ,don_know ,ameli_without ,eat_ameli ,without_mind ,first_time ,realli_good ,love_place ,coffe_shop ,fri_pickl ,burger_co ,time_went ,corn_dog ,savori_crepe ,can_eat ,5_5 ,come_back ,look_forward ,can_get ,sushi_night ,mexican_food ,waffl_fri ,3_5 ,tabl_chair ,peanut_butter ,game_day ,great_lunch ,plaza_midwood
3,crepe_cellar ,great_food ,smelli_cat ,across_street ,everi_time ,close_monday ,frozen_yogurt ,best_way ,fish_taco ,next_time ,food_good ,come_back ,just_like ,go_back ,right_away ,good_servic ,will_definit ,food_servic ,red_pepper ,wine_bar ,peopl_watch ,say_place ,pretti_good ,nice_littl ,will_back ,chocol_croissant ,dine_room ,definit_recommend ,mayb_ll ,make_sure
4,go_back ,fish_taco ,crepe_cellar ,wait_staff ,breakfast_sandwich ,place_go ,realli_great ,realli_good ,fun_place ,tater_tot ,galleri_crawl ,dessert_crepe ,hous_made ,tasti_yo ,frozen_yogurt ,come_back ,laid_back ,last_time ,great_atmospher ,friday_night ,tast_like ,next_time ,open_24 ,shrimp_taco ,everi_time ,place_hang ,probabl_go ,food_drink ,fro_yo ,loco_lime
5,fri_chicken ,crepe_cellar ,open_kitchen ,great_place ,price_chicken ,go_back ,chicken_coop ,ve_got ,next_time ,good_beer ,servic_great ,goat_chees ,can_find ,crab_queso ,look_like ,come_back ,ve_ever ,happi_hour ,also_got ,soda_shop ,chicken_ve ,sweet_potato ,fish_taco ,beer_select ,realli_good ,french_press ,feel_like ,dessert_crepe ,first_time ,brussel_sprout
6,smelli_cat ,fish_taco ,crepe_cellar ,go_back ,fri_chicken ,beer_select ,next_time ,pretti_good ,don_like ,can_get ,realli_good ,ve_enjoy ,mac_chees ,across_street ,photo_wedoitforlov ,flickr_com ,com_photo ,www_flickr ,http_www ,set_72157623503537096 ,sweet_potato ,tasti_yo ,great_place ,press_coffe ,first_time ,brussel_sprout ,lunch_buffet ,don_know ,french_press ,good_beer
7,realli_good ,pretti_good ,ve_ever ,fri_chicken ,smelli_cat ,good_place ,go_back ,loco_lime ,peanut_butter ,fish_taco ,first_time ,right_away ,5_star ,3_5 ,sport_bar ,can_eat ,will_back ,make_sure ,can_get ,ever_seen ,savor_cafe ,realli_like ,sweet_potato ,ve_got ,noth_special ,next_time ,look_like ,15_minut ,hot_dog ,beer_select
8,fri_chicken ,tasti_yo ,great_place ,go_back ,beer_select ,first_time ,mexican_restaur ,yo_tasti ,crepe_cellar ,next_time ,burger_co ,look_like ,hush_puppi ,littl_bit ,pretti_good ,banana_pud ,sweet_potato ,fish_taco ,also_good ,food_good ,staff_friendli ,time_go ,dorm_room ,good_thing ,egg_benedict ,burger_joint ,sunday_brunch ,price_fri ,asian_girl ,just_enough
9,fish_taco ,go_back ,littl_bit ,crepe_cellar ,queen_citi ,pretti_good ,great_food ,don_know ,mix_green ,1_4 ,onion_soup ,french_onion ,place_hang ,hit_spot ,loco_lime ,beer_select ,tater_tot ,servic_good ,last_time ,fish_chip ,spice_tea ,shrimp_grit ,salt_shaker ,bbq_shrimp ,dolc_vita ,soda_shop ,good_food ,corn_salsa ,galleri_crawl ,place_go
