,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,n_chees ,dim_sum ,mac_n ,pretti_good ,banh_mi ,next_door ,ve_found ,tortilla_chip ,portion_size ,servic_alway ,beef_bottl ,strip_mall ,food_great ,go_back ,ve_seen ,everyth_els ,friendli_quick ,first_time ,vinegar_base ,expans_menu ,fresh_seafood ,didn_get ,menu_also ,smoke_flavor ,tomato_vinegar ,great_nice ,m_big ,everi_time ,alway_get ,mexican_restaur
1,b_b ,dim_sum ,realli_good ,lang_van ,go_back ,ice_cream ,even_though ,sweet_tea ,look_like ,good_pho ,eat_kinda ,salsa_pico ,noth_special ,will_definit ,everyth_good ,pho_hoa ,bean_sprout ,thing_didn ,favorit_dish ,chines_broccoli ,waiter_waitress ,tablesid_guac ,went_lunch ,old_fashion ,drive_inn ,servic_friendli ,serv_separ ,seafood_soup ,don_pedro ,3_4
2,dim_sum ,banh_mi ,food_great ,make_sure ,great_place ,good_food ,summer_roll ,much_better ,great_servic ,servic_good ,comfort_food ,come_back ,home_fri ,asian_market ,great_select ,place_great ,chicken_dumpl ,oliv_garden ,lang_van ,chines_restaur ,fri_chicken ,one_best ,chicken_wing ,food_much ,wing_great ,great_beer ,dirti_rice ,box_continu ,suprem_meal ,tast_like
3,mash_potato ,lang_van ,ice_cream ,spici_chicken ,4_5 ,fast_food ,5_star ,fri_chicken ,music_factori ,park_lot ,go_back ,can_tell ,sour_cream ,five_star ,food_great ,chines_buffet ,5_5 ,nc_style ,ben_thanh ,look_like ,nc_music ,servic_friendli ,ve_got ,ve_seen ,servic_alway ,pretti_tasti ,one_best ,great_food ,raw_ingredi ,menu_item
4,dim_sum ,fri_chicken ,servic_great ,mash_potato ,7_95 ,pull_pork ,groceri_store ,great_place ,collard_green ,good_fri ,one_breast ,place_go ,chicken_feet ,shrimp_ball ,go_back ,hush_puppi ,fri_okra ,real_southern ,hidden_gem ,awesom_place ,park_lot ,nice_real ,like_place ,mac_n ,southern_cookin ,m_sure ,n_chees ,smother_vinegar ,just_walk ,food_delici
5,mac_chees ,ice_cream ,go_back ,good_place ,fri_okra ,d_love ,realli_good ,mexican_food ,fri_tortilla ,n_chees ,mac_n ,first_time ,4_5 ,light_rail ,behind_counter ,old_school ,overal_good ,just_good ,chees_fri ,beer_brew ,come_back ,everyon_els ,almost_everyth ,delici_alway ,don_mind ,us_everyon ,eat_time ,decid_tri ,alway_end ,open_time
6,food_good ,come_back ,go_back ,bowl_pho ,realli_good ,great_food ,servic_great ,reason_price ,next_time ,lunch_special ,time_m ,dim_sum ,thing_great ,fri_chicken ,5_star ,id_scan ,m_just ,dac_biet ,sweet_potato ,good_food ,ice_cream ,daili_special ,great_place ,potato_fri ,restaur_charlott ,beer_batter ,lunch_breakfast ,south_charlott ,ay_ay ,breakfast_great
7,onion_ring ,can_get ,car_hop ,sweet_potato ,steak_hous ,old_school ,sweet_tea ,look_like ,can_tell ,pretti_good ,diner_food ,ve_ever ,cafe_intern ,next_time ,stir_fri ,durian_shake ,mom_si ,strip_mall ,great_place ,fri_chicken ,mac_chees ,drive_thru ,go_insid ,tri_breakfast ,4_star ,locat_near ,bubbl_tea ,independ_blvd ,next_door ,place_take
8,wet_willi ,hash_brown ,staff_friendli ,go_back ,friendli_help ,food_good ,garlic_don ,realli_good ,look_like ,sweet_tea ,want_love ,craft_brew ,drink_coffe ,don_drink ,long_time ,sweet_potato ,love_place ,alway_friendli ,can_say ,food_alway ,alway_good ,locat_isn ,type_chili ,ve_gone ,south_beach ,servic_friendli ,alway_order ,tap_room ,good_ve ,time_fan
9,onion_ring ,fri_chicken ,food_good ,great_food ,beef_bottl ,go_back ,lang_van ,ve_ever ,old_school ,wood_panel ,habitat_human ,groceri_store ,servic_food ,good_servic ,crab_meat ,realli_good ,place_just ,great_servic ,behind_counter ,place_everyth ,laid_back ,will_definit ,asian_food ,sweet_tea ,come_back ,mash_potato ,day_inn ,much_better ,mexican_restaur ,great_go
