,0,1,2,3,4,5,6,7,8,9
0,first_time ,mac_chees ,great_place ,next_time ,food_truck ,realli_good ,fri_pickl ,come_back ,shrimp_taco ,love_love
1,come_back ,love_place ,craft_beer ,food_truck ,go_back ,great_place ,realli_good ,live_music ,coffe_shop ,staff_friendli
2,food_truck ,beer_select ,go_back ,realli_good ,come_back ,fri_chicken ,custom_servic ,will_definit ,5_star ,one_favorit
3,fish_taco ,go_back ,salt_caramel ,realli_good ,first_time ,come_back ,servic_excel ,mac_chees ,pretti_good ,pork_belli
4,fish_taco ,pretti_good ,fri_pickl ,food_truck ,cabo_fish ,ve_ever ,can_get ,pimento_chees ,tater_tot ,fri_chicken
5,ve_ever ,salt_caramel ,caramel_browni ,fri_chicken ,south_end ,food_truck ,beer_select ,select_beer ,fish_taco ,come_back
6,first_time ,beer_chees ,come_back ,fish_taco ,fri_chicken ,m_sure ,go_back ,mac_chees ,can_get ,great_place
7,go_back ,chunki_monkey ,monkey_chunki ,food_truck ,love_place ,great_food ,great_beer ,great_place ,beer_select ,can_wait
8,go_back ,food_truck ,caramel_browni ,pretti_good ,salt_caramel ,great_place ,food_good ,can_wait ,great_food ,place_go
9,love_place ,go_back ,mac_chees ,great_place ,beer_select ,will_back ,fri_pickl ,pretti_good ,caramel_browni ,salt_caramel
