,0,1,2,3,4,5,6,7,8,9
0,regard ,websit ,debit ,sushi ,papusa ,lasagna ,ant ,crappi ,0 ,vendor
1,place ,food ,got ,menudo ,bean ,rice ,restaur ,tri ,shrimp ,owner
2,air ,que ,buen ,parec ,calient ,calor ,te ,esta ,rato ,por
3,take ,food ,cook ,order ,room ,hotel ,one ,call ,cash ,prepar
4,pizza ,place ,coupl ,tri ,ny ,today ,run ,m ,want ,didn
5,park ,food ,larri ,like ,open ,make ,restaur ,delici ,given ,fun
6,fri ,place ,fish ,spot ,brim ,flavor ,best ,delici ,compar ,get
7,music ,plenti ,show ,great ,taco ,street ,across ,restaur ,mexican ,look
8,food ,great ,friendli ,trip ,tea ,new ,grab ,staff ,us ,definit
9,good ,food ,place ,great ,go ,servic ,like ,get ,can ,order
