,0,1,2,3,4,5,6,7,8,9
0,regard ,websit ,debit ,sushi ,papusa ,lasagna ,ant ,crappi ,0 ,vendor
1,place ,food ,got ,menudo ,bean ,restaur ,rice ,tri ,nice ,shrimp
2,air ,que ,calor ,esta ,te ,calient ,parec ,gusta ,por ,buen
3,food ,take ,order ,cook ,one ,cash ,call ,prepar ,make ,wait
4,pizza ,place ,tri ,coupl ,ny ,run ,today ,m ,want ,didn
5,park ,food ,larri ,like ,make ,restaur ,delici ,open ,given ,fun
6,fri ,place ,fish ,spot ,flavor ,best ,delici ,get ,will ,ever
7,music ,show ,plenti ,great ,taco ,street ,restaur ,across ,mexican ,look
8,food ,great ,friendli ,trip ,tea ,us ,new ,staff ,grab ,definit
9,good ,food ,place ,great ,go ,servic ,can ,like ,back ,time
