,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,regard ,websit ,debit ,sushi ,papusa ,lasagna ,ant ,crappi ,0 ,vendor ,tempura ,parmesan ,grimi ,umm ,e ,slept ,roof ,rat ,wise ,random ,southpark ,awhil ,floor ,hey ,bed ,59pm ,balo ,pizzeria ,sandra ,crib
1,place ,food ,got ,menudo ,bean ,restaur ,rice ,tri ,nice ,shrimp ,owner ,meal ,wish ,though ,curri ,great ,cuisin ,jamaican ,transact ,cook ,chicken ,will ,clean ,mexican ,beef ,decent ,bed ,littl ,absolut ,mac
2,air ,que ,calient ,acondicionado ,vuelvo ,ay ,rato ,calor ,esta ,te ,parec ,por ,gusta ,buen ,aldi ,produc ,berri ,portifino ,underwhelm ,larger ,drain ,direct ,dulc ,collect ,thee ,cinnamon ,lion ,formula ,shandi ,65
3,food ,take ,order ,cook ,one ,cash ,call ,prepar ,make ,wait ,glove ,will ,use ,hotel ,better ,front ,room ,card ,seen ,ladi ,regist ,stay ,handl ,minut ,chanel ,us ,said ,manag ,ask ,hour
4,pizza ,place ,tri ,coupl ,ny ,run ,today ,m ,want ,didn ,owner ,kind ,good ,plaza ,ari ,slice ,game ,move ,joint ,cool ,new ,locat ,time ,year ,longer ,month ,give ,greet ,pie ,much
5,park ,food ,larri ,like ,make ,restaur ,delici ,open ,given ,fun ,especi ,doesn ,miss ,lot ,mind ,avoid ,wall ,limit ,local ,littl ,fri ,easi ,find ,sign ,just ,time ,price ,pretti ,re ,m
6,fri ,place ,fish ,spot ,flavor ,best ,delici ,get ,will ,ever ,better ,compar ,back ,new ,like ,come ,look ,bone ,huge ,made ,piec ,drink ,alway ,3 ,red ,frozen ,don ,yellow ,hush ,puppi
7,music ,show ,plenti ,great ,taco ,street ,restaur ,across ,mexican ,look ,staff ,factori ,better ,hand ,bring ,right ,also ,much ,work ,sinc ,chef ,enough ,forward ,kind ,tuesday ,appet ,texicali ,previou ,prior ,comedi
8,food ,great ,friendli ,trip ,tea ,us ,new ,staff ,grab ,definit ,come ,back ,quick ,review ,extrem ,alway ,appet ,decid ,give ,green ,hope ,owner ,nope ,drink ,love ,delici ,fantast ,treat ,huge ,cool
9,good ,food ,place ,great ,go ,servic ,can ,like ,back ,time ,get ,order ,just ,don ,also ,beer ,got ,love ,realli ,tri ,alway ,chicken ,first ,charlott ,ve ,one ,fresh ,know ,work ,best
